Name,Date,Grade,Price
MARYANNA,14/09/2008,A,79700
REBECCA,11/03/2008,B,
ASHELY,5/08/2008,E,24311
KHADIJAH,2/09/2008,,38904
TANJA,1/12/2008,C,47052
JUDIE,17/05/2008,D,34365
NOE,15/08/2008,A,79344
JACALYN,7/10/2008,E,21474
SANDY,5/04/2008,D,
ALEJANDRA,16/12/2008,E,20916
GARY,8/05/2008,C,40081
ROSELEE,29/06/2008,,37661
SAMMIE,5/11/2008,B,61730
,12/12/2008,E,17328
STACEY,24/08/2008,E,24524
RASHIDA,,C,44597
MELINA,22/03/2008,C,41484
CARI,23/12/2008,D,19403
PAIGE,18/07/2008,A,79888
JONNIE,29/03/2008,E,15350
MING,10/11/2008,B,63275
MINERVA,31/07/2008,,45751
ROLF,26/12/2008,D,38267
LUBA,19/07/2008,E,18527
MARISSA,26/09/2008,B,59843
JARRETT,30/11/2008,,41182
COLIN,30/10/2008,E,22953
,1/10/2008,E,20229
ILENE,9/07/2008,E,24609
STARR,26/10/2008,B,63624
KELLYE,28/06/2008,D,31416
JANA,31/10/2008,B,58702
ALEJANDRINA,20/07/2008,E,21775
NOVA,24/06/2008,E,14847
NATALYA,31/08/2008,C,49353
,24/03/2008,E,24633
LEANDRO,18/03/2008,E,23160
MARICA,24/04/2008,C,43187
,13/07/2008,C,46590
MAGARET,1/12/2008,E,19867
MARCELLA,,B,63775
LAMONICA,17/12/2008,E,18790
JUSTINA,19/07/2008,,44818
DELPHINE,21/11/2008,A,77968
PIERRE,4/10/2008,A,77071
SHANELLE,21/03/2008,B,59311
ABBEY,30/09/2008,E,22959
,1/12/2008,B,59571
REANNA,29/07/2008,D,36983
HIROKO,9/10/2008,E,24764
URSULA,6/11/2008,B,58143
KAREEN,22/08/2008,B,59867
,8/07/2008,E,22690
MAX,30/12/2008,A,66994
,19/07/2008,A,77237
DAGMAR,11/12/2008,,64721
LANCE,26/09/2008,A,77852
DREW,1/09/2008,E,17744
EUGENIA,21/09/2008,E,21844
KRISTAL,3/07/2008,D,39815
SHANITA,27/07/2008,,68009
AMIRA,1/11/2008,B,56864
PAM,2/10/2008,E,21269
ARDATH,13/12/2008,A,77062
KAMILAH,1/10/2008,B,
MARILYNN,25/12/2008,D,34159
ODILIA,6/09/2008,D,35782
HORTENCIA,28/04/2008,E,21855
FRANCINE,29/12/2008,,30870
HENRIETTA,20/01/2008,B,
OPAL,18/06/2008,E,24535
QUINN,16/10/2008,E,11401
LANE,5/09/2008,D,38764
,23/09/2008,E,22739
MARY,5/09/2008,C,49847
DANYELL,28/09/2008,D,
STEPHEN,11/02/2008,D,33155
MARGO,23/11/2008,,16976
MANUELA,29/07/2008,E,23329
SLYVIA,27/12/2008,B,
IONE,,D,32972
,7/05/2008,E,14968
KIA,28/08/2008,C,43038
SHONDA,29/08/2008,A,76861
SHARICE,5/11/2008,D,35250
,21/12/2008,D,35296
KATTIE,12/10/2008,C,40210
TAYNA,6/10/2008,E,19153
DANE,15/05/2008,D,37945
CLIFTON,17/10/2008,D,34867
ARDELL,3/03/2008,C,46911
TODD,4/12/2008,B,57588
IGNACIA,14/07/2008,,64343
VALARIE,16/04/2008,C,44873
ROSALYN,30/09/2008,E,23296
DEEANNA,17/04/2008,,17786
BETTE,1/12/2008,E,20481
BROOKS,6/11/2008,C,47930
MAUDIE,28/12/2008,A,76523
PAMELIA,7/05/2008,D,39320
RUDY,30/04/2008,D,37906
KIETH,1/09/2008,C,48826
RICKI,,D,36319
